dateForecast,ID_CASE,CROP,SOIL,METEO,readilyAvailableWater,soilWaterDeficit,rootDepth,forecast7daysPrec,forecast7daysMaxTransp,forecast7daysIRR,previous14daysIRR,previousAllSeasonIRR
2018-05-18,M01058S15C1,CORN,BEL1,01058,51.7,30.3,0.74,42.2,25.7,0,0,0
2018-05-18,M01058S15C12,GRAPEVINE,BEL1,01058,68.3,53.5,1.00,42.2,20.4,0,0,0
2018-05-18,M01058S15C2,RAINFEDWHEAT,BEL1,01058,92.7,99.0,1.45,42.2,25.9,0,0,0
2018-05-18,M01058S15C3,ALFALFA,BEL1,01058,85.2,117.6,1.55,42.2,15.6,0,0,0
2018-05-18,M01058S91C1,CORN,CTL7,01058,35.5,29.8,0.74,42.2,25.7,0,0,0
2018-05-18,M01058S91C12,GRAPEVINE,CTL7,01058,53.2,48.9,1.00,42.2,20.4,0,0,0
2018-05-18,M01058S91C2,RAINFEDWHEAT,CTL7,01058,70.8,97.9,1.45,42.2,25.9,0,0,0
2018-05-18,M01058S91C3,ALFALFA,CTL7,01058,60.5,112.7,1.50,42.2,15.6,0,0,0
2018-05-18,M01059S15C1,CORN,BEL1,01059,58.2,28.1,0.77,31.4,25.8,0,0,0
2018-05-18,M01059S15C12,GRAPEVINE,BEL1,01059,76.3,45.5,1.00,31.4,20.4,0,0,0
2018-05-18,M01059S15C2,RAINFEDWHEAT,BEL1,01059,108.4,85.2,1.47,31.4,24.7,0,0,0
2018-05-18,M01059S15C3,ALFALFA,BEL1,01059,100.1,102.6,1.55,31.4,15.2,0,0,0
2018-05-18,M01097S15C1,CORN,BEL1,01097,55.5,30.7,0.77,32.1,26.2,0,0,0
2018-05-18,M01097S15C2,RAINFEDWHEAT,BEL1,01097,91.2,101.9,1.46,32.1,25.1,0,0,0
2018-05-18,M01097S15C3,ALFALFA,BEL1,01097,83.1,119.7,1.55,32.1,15.3,0,0,0
2018-05-18,M01097S252C1,CORN,SCN5,01097,55.9,30.8,0.77,32.1,26.2,0,0,0
2018-05-18,M01097S252C2,RAINFEDWHEAT,SCN5,01097,103.5,100.3,1.46,32.1,25.1,0,0,0
2018-05-18,M01097S267C1,CORN,SMB1,01097,55.0,30.7,0.77,32.1,26.2,0,0,0
2018-05-18,M01097S267C12,GRAPEVINE,SMB1,01097,66.9,56.1,1.00,32.1,20.7,0,0,0
2018-05-18,M01097S267C2,RAINFEDWHEAT,SMB1,01097,95.9,101.9,1.46,32.1,25.1,0,0,0
2018-05-18,M01097S267C3,ALFALFA,SMB1,01097,111.9,143.7,1.90,32.1,15.3,0,0,0
2018-05-18,M01097S268C1,CORN,SMB2,01097,46.7,29.9,0.77,32.1,26.2,0,0,0
2018-05-18,M01097S268C12,GRAPEVINE,SMB2,01097,56.9,53.8,1.00,32.1,20.7,0,0,0
2018-05-18,M01097S268C2,RAINFEDWHEAT,SMB2,01097,82.2,100.4,1.46,32.1,25.1,0,0,0
2018-05-18,M01097S268C3,ALFALFA,SMB2,01097,57.1,131.5,1.50,32.1,15.3,0,0,0
2018-05-18,M01098S15C1,CORN,BEL1,01098,52.2,31.5,0.75,39.3,26.0,0,0,0
2018-05-18,M01098S15C12,GRAPEVINE,BEL1,01098,65.2,56.5,1.00,39.3,20.6,0,0,0
