dateForecast,ID_CASE,CROP,SOIL,METEO,readilyAvailableWater,soilWaterDeficit,rootDepth,forecast7daysPrec,forecast7daysMaxTransp,forecast7daysIRR,previous14daysIRR,previousAllSeasonIRR
2019-08-07,M01181S10C1,CORN,BARz,01181,-6.5,91.4,1.20,2.2,36.4,24,0,96
2019-08-07,M01371S12C1,CORN,BAU1,01371,14.6,137.3,1.20,3.4,34.4,0,23.4,71.4
2019-08-07,M01411S12C1,CORN,BAU1,01411,14.3,137.6,1.20,2.6,34.8,0,22.8,70.8
2019-08-07,M01412S12C1,CORN,BAU1,01412,-5.5,159.2,1.20,1.6,36.2,0,0,72
2019-08-07,M01451S12C1,CORN,BAU1,01451,15.6,137.9,1.20,1.6,35.1,0,24,72
2019-08-07,M01452S12C1,CORN,BAU1,01452,-19.4,173.1,1.20,1.2,36.1,24,0,72
2019-08-07,M01296S14C1,CORN,BEG1,01296,-19.3,118.7,1.20,0.6,36.7,10.8,10.2,66.6
2019-08-07,M01297S14C1,CORN,BEG1,01297,-19.8,119.1,1.20,0.5,36.9,10.8,10.2,66.6
2019-08-07,M01335S14C1,CORN,BEG1,01335,-16.0,115.3,1.20,1.1,37.0,11.4,8.4,64.8
2019-08-07,M01336S14C1,CORN,BEG1,01336,-18.4,117.7,1.20,0.4,36.8,10.8,10.8,67.2
2019-08-07,M01337S14C1,CORN,BEG1,01337,-19.8,119.1,1.20,0.4,36.9,10.8,10.8,67.2
2019-08-07,M01058S15C1,CORN,BEL1,01058,-33.6,199.7,1.20,1.6,38.2,24,0,48
2019-08-07,M01059S15C1,CORN,BEL1,01059,-24.1,190.2,1.20,1.1,37.1,24,24,48
2019-08-07,M01097S15C1,CORN,BEL1,01097,-18.1,184.2,1.20,1.6,37.0,24,24,48
2019-08-07,M01098S15C1,CORN,BEL1,01098,-31.1,197.1,1.20,1.3,37.9,24,24,48
2019-08-07,M01099S15C1,CORN,BEL1,01099,-23.6,189.6,1.20,1.7,36.8,24,24,48
2019-08-07,M01100S15C1,CORN,BEL1,01100,-10.9,176.9,1.20,1.6,35.5,24,24,48
2019-08-07,M01140S15C1,CORN,BEL1,01140,-23.2,189.2,1.20,2.2,35.9,24,0,48
2019-08-07,M01141S15C1,CORN,BEL1,01141,-10.0,175.8,1.20,1.9,35.5,0,24,48
2019-08-07,M01179S15C1,CORN,BEL1,01179,-35.9,202.0,1.20,2.2,36.7,24,0,48
2019-08-07,M01180S15C1,CORN,BEL1,01180,-27.7,193.8,1.20,2.3,36.6,24,0,48
2019-08-07,M01182S15C1,CORN,BEL1,01182,-28.5,194.5,1.20,1.0,34.9,24,0,24
2019-08-07,M01218S15C1,CORN,BEL1,01218,4.5,163.0,1.20,1.4,37.7,0,48,96
2019-08-07,M01219S15C1,CORN,BEL1,01219,-21.7,189.2,1.20,1.4,37.0,24,24,72
2019-08-07,M01220S15C1,CORN,BEL1,01220,-27.8,194.0,1.20,2.1,37.0,24,0,48
2019-08-07,M01221S15C1,CORN,BEL1,01221,-17.5,183.6,1.20,2.2,36.9,24,0,48
2019-08-07,M01222S15C1,CORN,BEL1,01222,-29.7,195.7,1.20,1.1,35.1,24,0,24
2019-08-07,M01260S15C1,CORN,BEL1,01260,-34.0,200.1,1.20,0.9,37.5,24,0,48
2019-08-07,M01261S15C1,CORN,BEL1,01261,-25.8,191.9,1.20,0.7,36.9,24,0,48
2019-08-07,M01219S23C1,CORN,BOG1,01219,-7.6,137.5,1.20,1.4,37.0,24,24,96
2019-08-07,M01220S23C1,CORN,BOG1,01220,-26.4,156.2,1.20,2.1,37.0,24,0,72
2019-08-07,M01221S23C1,CORN,BOG1,01221,-21.7,151.5,1.20,2.2,36.9,24,0,72
2019-08-07,M01222S23C1,CORN,BOG1,01222,-25.2,155.0,1.20,1.1,35.1,24,0,48
2019-08-07,M01220S29C1,CORN,CAN1,01220,-6.5,56.8,1.20,2.1,37.0,24,24,144
2019-08-07,M01411S32C1,CORN,CASy,01411,15.0,138.5,1.20,2.6,34.8,0,24,72
2019-08-07,M01451S32C1,CORN,CASy,01451,6.5,147.5,1.20,1.6,35.1,0,24,72
2019-08-07,M01452S33C1,CORN,CASz,01452,-1.4,175.2,1.20,1.2,36.1,0,24,72
2019-08-07,M01140S48C1,CORN,CIA1,01140,-18.4,124.2,1.20,2.2,35.9,21,15.6,85.8
2019-08-07,M01180S48C1,CORN,CIA1,01180,-19.8,125.7,1.20,2.3,36.6,21.6,22.2,91.8
2019-08-07,M01332S49C1,CORN,CIR1,01332,-17.8,148.5,1.20,2.1,36.3,24,0,72
2019-08-07,M01372S49C1,CORN,CIR1,01372,-18.5,149.3,1.20,2.1,36.2,24,0,72
2019-08-07,M01099S65C1,CORN,CON1,01099,-2.1,104.6,1.20,1.7,36.8,24,24,96
2019-08-07,M01181S65C1,CORN,CON1,01181,8.5,94.0,1.20,2.2,36.4,24,0,96
2019-08-07,M01182S65C1,CORN,CON1,01182,30.5,71.9,1.20,1.0,34.9,0,24,96
2019-08-07,M01221S65C1,CORN,CON1,01221,6.9,95.7,1.20,2.2,36.9,24,0,96
2019-08-07,M01220S67C1,CORN,CON3,01220,15.8,42.4,1.20,2.1,37.0,0,22.2,137.4
2019-08-07,M01221S67C1,CORN,CON3,01221,18.1,40.2,1.20,2.2,36.9,0,21.6,136.8
2019-08-07,M01261S67C1,CORN,CON3,01261,16.1,42.1,1.20,0.7,36.9,0,22.2,136.8
2019-08-07,M01211S72C1,CORN,CPO1,01211,-9.1,112.2,1.20,4.1,37.0,19.2,18.6,97.8
2019-08-07,M01251S72C1,CORN,CPO1,01251,-8.5,111.6,1.20,4.1,36.4,18.6,0,97.2
2019-08-07,M01252S72C1,CORN,CPO1,01252,-8.7,111.8,1.20,3.7,36.7,19.2,0,97.2
2019-08-07,M01291S72C1,CORN,CPO1,01291,2.4,100.7,1.20,3.2,35.9,0,13.8,93.6
2019-08-07,M01292S72C1,CORN,CPO1,01292,-4.8,107.9,1.20,2.4,36.8,18.6,0,96.6
2019-08-07,M01217S86C1,CORN,CTL1,01217,-23.4,183.1,1.20,2.8,37.0,24,24,72
2019-08-07,M01218S86C1,CORN,CTL1,01218,-0.6,160.3,1.20,1.4,37.7,0,24,96
2019-08-07,M01257S86C1,CORN,CTL1,01257,-9.7,169.4,1.20,1.6,37.1,24,24,96
2019-08-07,M01258S86C1,CORN,CTL1,01258,-20.7,180.4,1.20,1.2,37.5,24,24,96
2019-08-07,M01259S86C1,CORN,CTL1,01259,-18.6,178.3,1.20,0.9,37.4,24,24,72
2019-08-07,M01260S86C1,CORN,CTL1,01260,-40.3,199.0,1.20,0.9,37.5,24,0,48
2019-08-07,M01299S86C1,CORN,CTL1,01299,-7.7,166.4,1.20,0.1,37.2,0,24,72
2019-08-07,M01217S87C1,CORN,CTL3,01217,-30.4,156.8,1.20,2.8,37.0,24,0,72
2019-08-07,M01218S87C1,CORN,CTL3,01218,-15.5,141.9,1.20,1.4,37.7,24,23.4,95.4
2019-08-07,M01252S87C1,CORN,CTL3,01252,-0.2,126.6,1.20,3.7,36.7,0,24,96
2019-08-07,M01257S87C1,CORN,CTL3,01257,-1.2,127.5,1.20,1.6,37.1,0,24,96
2019-08-07,M01258S87C1,CORN,CTL3,01258,-15.4,141.7,1.20,1.2,37.5,24,23.4,95.4
2019-08-07,M01259S87C1,CORN,CTL3,01259,-11.3,137.7,1.20,0.9,37.4,24,22.2,94.2
2019-08-07,M01291S87C1,CORN,CTL3,01291,7.7,118.8,1.20,3.2,35.9,0,21,93
2019-08-07,M01292S87C1,CORN,CTL3,01292,3.6,122.8,1.20,2.4,36.8,0,24,96
2019-08-07,M01297S87C1,CORN,CTL3,01297,-1.6,128.8,1.20,0.5,36.9,0,23.4,95.4
2019-08-07,M01298S87C1,CORN,CTL3,01298,-8.0,134.4,1.20,0.8,37.0,24,24,96
2019-08-07,M01331S87C1,CORN,CTL3,01331,-7.7,134.2,1.20,3.3,34.6,24,0,72
2019-08-07,M01337S87C1,CORN,CTL3,01337,3.1,123.3,1.20,0.4,36.9,0,24,96
2019-08-07,M01338S87C1,CORN,CTL3,01338,-3.5,129.9,1.20,0.5,36.8,0,23.4,95.4
2019-08-07,M01371S87C1,CORN,CTL3,01371,-6.6,133.1,1.20,3.4,34.4,24,0,72
2019-08-07,M01372S87C1,CORN,CTL3,01372,18.6,107.9,1.20,2.1,36.2,0,23.4,95.4
2019-08-07,M01098S88C1,CORN,CTL4,01098,-23.1,157.1,1.20,1.3,37.9,24,24,72
2019-08-07,M01099S88C1,CORN,CTL4,01099,-12.7,146.7,1.20,1.7,36.8,24,24,72
2019-08-07,M01138S88C1,CORN,CTL4,01138,-37.5,171.5,1.20,2.9,35.5,24,0,48
2019-08-07,M01139S88C1,CORN,CTL4,01139,-17.5,151.5,1.20,2.4,36.5,24,24,72
2019-08-07,M01140S88C1,CORN,CTL4,01140,-11.9,145.8,1.20,2.2,35.9,24,24,72
2019-08-07,M01179S88C1,CORN,CTL4,01179,-30.2,164.1,1.20,2.2,36.7,24,0,72
2019-08-07,M01180S88C1,CORN,CTL4,01180,-21.0,154.9,1.20,2.3,36.6,24,0,72
2019-08-07,M01218S88C1,CORN,CTL4,01218,-6.5,140.4,1.20,1.4,37.7,24,24,96
2019-08-07,M01219S88C1,CORN,CTL4,01219,-37.4,171.3,1.20,1.4,37.0,24,0,72
2019-08-07,M01220S88C1,CORN,CTL4,01220,-20.7,154.6,1.20,2.1,37.0,24,0,72
2019-08-07,M01258S88C1,CORN,CTL4,01258,-6.7,140.7,1.20,1.2,37.5,24,24,96
2019-08-07,M01259S88C1,CORN,CTL4,01259,-37.2,171.1,1.20,0.9,37.4,24,0,72
2019-08-07,M01058S91C1,CORN,CTL7,01058,-22.2,155.3,1.20,1.6,38.2,24,24,72
2019-08-07,M01098S91C1,CORN,CTL7,01098,-24.1,157.1,1.20,1.3,37.9,24,24,72
2019-08-07,M01099S91C1,CORN,CTL7,01099,-14.8,147.7,1.20,1.7,36.8,24,24,72
2019-08-07,M01219S91C1,CORN,CTL7,01219,-37.5,170.5,1.20,1.4,37.0,24,0,72
2019-08-07,M01220S91C1,CORN,CTL7,01220,-21.7,154.6,1.20,2.1,37.0,24,0,72
2019-08-07,M01259S91C1,CORN,CTL7,01259,-37.8,170.8,1.20,0.9,37.4,24,0,72
2019-08-07,M01260S91C1,CORN,CTL7,01260,-28.9,161.9,1.20,0.9,37.5,24,0,72
2019-08-07,M01140S118C1,CORN,GHI1,01140,-22.7,190.0,1.20,2.2,35.9,24,0,48
2019-08-07,M01180S118C1,CORN,GHI1,01180,-26.0,193.5,1.20,2.3,36.6,24,0,48
2019-08-07,M01261S118C1,CORN,GHI1,01261,-25.0,192.5,1.20,0.7,36.9,24,0,48
2019-08-07,M01373S121C1,CORN,GLS1,01373,2.1,112.2,1.20,1.9,37.0,0,24,96
2019-08-07,M01176S122C1,CORN,GLS2,01176,-23.4,123.4,1.20,3.6,37.0,20.4,18.6,75.6
2019-08-07,M01177S122C1,CORN,GLS2,01177,-20.9,120.9,1.20,3.8,36.6,19.2,19.2,76.2
2019-08-07,M01216S122C1,CORN,GLS2,01216,-0.4,100.4,1.20,3.1,36.7,18.6,36.6,96
2019-08-07,M01217S122C1,CORN,GLS2,01217,-10.7,110.7,1.20,2.8,37.0,18.6,17.4,96
2019-08-07,M01255S122C1,CORN,GLS2,01255,-5.8,105.8,1.20,1.9,36.8,19.8,15.6,96
2019-08-07,M01256S122C1,CORN,GLS2,01256,-15.6,115.6,1.20,1.7,36.8,19.2,16.2,93
2019-08-07,M01374S122C1,CORN,GLS2,01374,11.8,88.2,1.20,1.6,36.9,0,36.6,115.2
2019-08-07,M01182S128C1,CORN,GRZ1,01182,-5.7,97.1,1.20,1.0,34.9,21.6,15,82.8
